FILENAME,TRUE LABEL,PREDICTED LABEL,CONFIDENCE,CONDITION MEANING
distal-subungual-onychomycosis-4_jpg.rf.0a9e56830308b4223160935eacef74b8.jpg,Onychomycosis,Onychomycosis,1.0,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
istockphoto-855985394-612x616.jpg,Psoriasis,Psoriasis,1.0,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-10 at 3.22.39 PM.png,Yellow Nail,Yellow Nail,0.9998,"Possible fungal infection, liver disease, or chronic respiratory issue."
istockphoto-855985394-612x615.jpg,Psoriasis,Psoriasis,0.9998,Possible autoimmune condition causing pitting or discoloration on nails.
distal-subungual-onychomycosis-10_jpg.rf.0429bc7ab3d5f03d84e15e988dd3e968.jpg,Onychomycosis,Onychomycosis,0.9997,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
Screenshot 2025-10-25 211925.png,Onychogryphosis,Onychogryphosis,0.9995,Possible nail thickening or curvature; common in elderly or due to trauma.
istockphoto-1199610230-612x612.jpg,Psoriasis,Psoriasis,0.9994,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-25 221034.png,Clubbing,Clubbing,0.9993,Possible chronic lung or heart disease causing low oxygen levels.
44Screenshot 2025-10-26 003027.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9993,Possible serious skin cancer forming under the nail; seek medical attention.
Screenshot 2025-10-25 221233.png,Clubbing,Clubbing,0.9993,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-25 224545.png,Healthy Nail,Healthy Nail,0.9992,Normal nail appearance; no visible abnormalities or diseases.
Screenshot 2025-10-25 232254.png,Pitting,Pitting,0.9992,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-25 221117.png,Clubbing,Clubbing,0.9991,Possible chronic lung or heart disease causing low oxygen levels.
15_PNG_compressed_jpg.rf.8a28c09ec42d5c2ab10e5a4a6134cf22.jpg,Beau’s Lines,Beau’s Lines,0.9991,"Possible history of illness, infection, or stress disrupting nail growth."
k17_png_jpg.rf.e174cac87c778e872063122cbc1cdb59.jpg,Koilonychia,Koilonychia,0.9991,Possible iron deficiency anemia; nail appears spoon-shaped.
5_PNG_jpg.rf.27621b168525d19e13f90296f1d7af06.jpg,Koilonychia,Koilonychia,0.999,Possible iron deficiency anemia; nail appears spoon-shaped.
Screenshot 2025-10-25 224235.png,Healthy Nail,Healthy Nail,0.999,Normal nail appearance; no visible abnormalities or diseases.
Screenshot 2025-10-25 221124.png,Clubbing,Clubbing,0.9989,Possible chronic lung or heart disease causing low oxygen levels.
40Screenshot 2025-10-26 002816.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9989,Possible serious skin cancer forming under the nail; seek medical attention.
11_PNG_jpg.rf.1f7f623201545a370df78e6b82df6441.jpg,Koilonychia,Koilonychia,0.9987,Possible iron deficiency anemia; nail appears spoon-shaped.
Screenshot 2025-10-10 at 3.17.47 PM.png,Yellow Nail,Yellow Nail,0.9987,"Possible fungal infection, liver disease, or chronic respiratory issue."
istockphoto-1208495609-612x613.jpg,Psoriasis,Psoriasis,0.9985,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-25 220906.png,Clubbing,Clubbing,0.9984,Possible chronic lung or heart disease causing low oxygen levels.
41Screenshot 2025-10-26 002848.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9984,Possible serious skin cancer forming under the nail; seek medical attention.
distal-subungual-onychomycosis-2_jpg.rf.6dae3d68129c5d5abd50b67553a5b3b24.jpg,Onychomycosis,Onychomycosis,0.9983,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
4_PNG_compressed_jpg.rf.765c99a22b6acfa08e4d7bab7d011e40.jpg,Beau’s Lines,Beau’s Lines,0.9982,"Possible history of illness, infection, or stress disrupting nail growth."
Screenshot 2025-10-25 232039.png,Pitting,Pitting,0.9982,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-25 221041.png,Clubbing,Clubbing,0.9982,Possible chronic lung or heart disease causing low oxygen levels.
Screenshot 2025-10-25 224614.png,Healthy Nail,Healthy Nail,0.998,Normal nail appearance; no visible abnormalities or diseases.
Screenshot 2025-10-25 232410.png,Pitting,Pitting,0.998,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-25 213751.png,Bluish Nail,Bluish Nail,0.9978,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
k49_png_jpg.rf.29274d91309f64120d86389076b28bf1.jpg,Koilonychia,Koilonychia,0.9975,Possible iron deficiency anemia; nail appears spoon-shaped.
istockphoto-1208495609-612x615.jpg,Psoriasis,Psoriasis,0.9975,Possible autoimmune condition causing pitting or discoloration on nails.
Screenshot 2025-10-25 222949.png,Beau’s Lines,Beau’s Lines,0.9972,"Possible history of illness, infection, or stress disrupting nail growth."
Screenshot 2025-10-25 212953.png,Bluish Nail,Bluish Nail,0.997,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-25 213710.png,Bluish Nail,Bluish Nail,0.9969,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-10 at 3.17.56 PM.png,Yellow Nail,Yellow Nail,0.9962,"Possible fungal infection, liver disease, or chronic respiratory issue."
Screenshot 2025-10-10 at 3.41.43 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9961,Unknown condition — no rule defined.
Screenshot 2025-10-25 214044.png,Bluish Nail,Bluish Nail,0.996,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
Screenshot 2025-10-10 at 3.48.02 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9959,Unknown condition — no rule defined.
distal-subungual-onychomycosis-2_jpg.rf.c75b025a2591f6c296e64b22a451928e.jpg,Onychomycosis,Onychomycosis,0.9959,"Possible fungal nail infection; causes thick, brittle, or discolored nails."
Screenshot 2025-10-25 213206.png,Bluish Nail,Bluish Nail,0.9959,Possible oxygen deficiency or cyanosis; may indicate heart or lung problems.
17_PNG_emboss_jpg.rf.fb425668198603e111c9b3280f644845.jpg,Beau’s Lines,Beau’s Lines,0.9956,"Possible history of illness, infection, or stress disrupting nail growth."
Screenshot 2025-10-25 232141.png,Pitting,Pitting,0.9956,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-25 224257.png,Healthy Nail,Healthy Nail,0.9955,Normal nail appearance; no visible abnormalities or diseases.
istockphoto-1208495609-612x616.jpg,Psoriasis,Psoriasis,0.9953,Possible autoimmune condition causing pitting or discoloration on nails.
43Screenshot 2025-10-26 002954.png,Acral Lentiginous Melanoma,Acral Lentiginous Melanoma,0.9951,Possible serious skin cancer forming under the nail; seek medical attention.
Screenshot 2025-10-25 211831.png,Onychogryphosis,Onychogryphosis,0.9948,Possible nail thickening or curvature; common in elderly or due to trauma.
Screenshot 2025-10-25 231801.png,Pitting,Pitting,0.9947,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-25 231344.png,Pitting,Pitting,0.9947,Possible psoriasis or eczema; small depressions or dents on the nail surface.
Screenshot 2025-10-10 at 3.41.40 PM.png,White Nail (Leukonychia),White Nail (Leukonychia),0.9946,Unknown condition — no rule defined.
Screenshot 2025-10-25 211759.png,Onychogryphosis,Onychogryphosis,0.9946,Possible nail thickening or curvature; common in elderly or due to trauma.
Screenshot 2025-10-10 at 3.21.01 PM.png,Yellow Nail,Yellow Nail,0.9945,"Possible fungal infection, liver disease, or chronic respiratory issue."
Screenshot 2025-10-10 at 3.20.55 PM.png,Yellow Nail,Yellow Nail,0.9945,"Possible fungal infection, liver disease, or chronic respiratory issue."
