FILENAME,DISEASE,RIDGE STRENGTH,SPOT COUNT,THICKNESS RATION
Acral Lentiginous Melanoma\10Screenshot 2025-10-25 234454.png,Acral Lentiginous Melanoma,499.3284833329686,2,1.0
Acral Lentiginous Melanoma\11Screenshot 2025-10-25 234637.png,Acral Lentiginous Melanoma,697.3468859877694,17,1.1145038167938932
Acral Lentiginous Melanoma\12Screenshot 2025-10-25 234821.png,Acral Lentiginous Melanoma,590.0219286969563,1,1.0
Acral Lentiginous Melanoma\13Screenshot 2025-10-25 234906.png,Acral Lentiginous Melanoma,671.8984694424123,17,0.9466666666666667
Acral Lentiginous Melanoma\14Screenshot 2025-10-25 235003.png,Acral Lentiginous Melanoma,532.1904777659628,8,1.0
Acral Lentiginous Melanoma\15Screenshot 2025-10-25 235214.png,Acral Lentiginous Melanoma,739.6076419160671,9,1.2347826086956522
Acral Lentiginous Melanoma\16Screenshot 2025-10-25 235330.png,Acral Lentiginous Melanoma,729.858707433645,5,1.0458015267175573
Acral Lentiginous Melanoma\17Screenshot 2025-10-25 235514.png,Acral Lentiginous Melanoma,466.1442740620754,8,1.0
Acral Lentiginous Melanoma\18Screenshot 2025-10-25 235547.png,Acral Lentiginous Melanoma,493.14085431735225,1,1.0
Acral Lentiginous Melanoma\19Screenshot 2025-10-25 235800.png,Acral Lentiginous Melanoma,516.181889224539,2,1.0
Acral Lentiginous Melanoma\1Screenshot 2025-10-25 233759.png,Acral Lentiginous Melanoma,429.46768638092436,4,1.1029411764705883
Acral Lentiginous Melanoma\20Screenshot 2025-10-25 235828.png,Acral Lentiginous Melanoma,537.203155327163,1,1.0
Acral Lentiginous Melanoma\21Screenshot 2025-10-26 000255.png,Acral Lentiginous Melanoma,461.4359405951064,1,1.0283687943262412
Acral Lentiginous Melanoma\22Screenshot 2025-10-26 000342.png,Acral Lentiginous Melanoma,497.6739881283621,1,1.0204081632653061
Acral Lentiginous Melanoma\23Screenshot 2025-10-26 000533.png,Acral Lentiginous Melanoma,419.10421991724854,2,1.0068027210884354
Acral Lentiginous Melanoma\24Screenshot 2025-10-26 000602.png,Acral Lentiginous Melanoma,273.42020136832605,9,1.4545454545454546
Acral Lentiginous Melanoma\25Screenshot 2025-10-26 000624.png,Acral Lentiginous Melanoma,415.5370730982671,3,1.1111111111111112
Acral Lentiginous Melanoma\26Screenshot 2025-10-26 000706.png,Acral Lentiginous Melanoma,242.89483094492803,3,1.079136690647482
Acral Lentiginous Melanoma\27Screenshot 2025-10-26 000742.png,Acral Lentiginous Melanoma,273.09594783361104,5,1.1904761904761905
Acral Lentiginous Melanoma\28Screenshot 2025-10-26 000848.png,Acral Lentiginous Melanoma,466.6185059980593,2,1.0
